TimeStamp,Scene,Event,Interaction
1720687892976,SampleScene,none,none,
1720687894042,SampleScene,none,none,
1720687894077,SampleScene,none,none,
1720687894088,SampleScene,none,none,
1720687894103,SampleScene,none,none,
1720687894115,SampleScene,none,none,
1720687894130,SampleScene,none,none,
1720687894143,SampleScene,none,none,
1720687894157,SampleScene,none,none,
1720687894171,SampleScene,none,none,
1720687894184,SampleScene,none,none,
1720687894200,SampleScene,none,none,
1720687894212,SampleScene,none,none,
1720687894224,SampleScene,none,none,
1720687894242,SampleScene,none,none,
1720687894255,SampleScene,none,none,
1720687894266,SampleScene,none,none,
1720687894281,SampleScene,none,none,
1720687894297,SampleScene,none,none,
1720687894311,SampleScene,none,none,
1720687894321,SampleScene,none,none,
1720687894337,SampleScene,none,none,
1720687894353,SampleScene,none,none,
1720687894366,SampleScene,none,none,
1720687894377,SampleScene,none,none,
1720687894393,SampleScene,none,none,
1720687894408,SampleScene,none,none,
1720687894421,SampleScene,none,none,
1720687894433,SampleScene,none,none,
1720687894449,SampleScene,none,none,
1720687894464,SampleScene,none,none,
1720687894476,SampleScene,none,none,
1720687894489,SampleScene,none,none,
1720687894505,SampleScene,none,none,
1720687894519,SampleScene,none,none,
1720687894530,SampleScene,none,none,
1720687894547,SampleScene,none,none,
1720687894561,SampleScene,none,none,
1720687894570,SampleScene,none,none,
1720687894587,SampleScene,none,none,
1720687894603,SampleScene,none,none,
1720687894616,SampleScene,none,none,
1720687894627,SampleScene,none,none,
1720687894640,SampleScene,none,none,
1720687894659,SampleScene,none,none,
1720687894672,SampleScene,none,none,
1720687894681,SampleScene,none,none,
1720687894696,SampleScene,none,none,
1720687894715,SampleScene,none,none,
1720687894728,SampleScene,none,none,
1720687894739,SampleScene,none,none,
1720687894755,SampleScene,none,none,
1720687894806,SampleScene,none,none,
1720687894842,SampleScene,none,none,
1720687894872,SampleScene,none,none,
1720687894902,SampleScene,none,none,
1720687894917,SampleScene,none,none,
1720687894943,SampleScene,none,none,
1720687894972,SampleScene,none,none,
1720687895000,SampleScene,none,none,
1720687895030,SampleScene,none,none,
1720687895058,SampleScene,none,none,
1720687895086,SampleScene,none,none,
1720687895114,SampleScene,none,none,
1720687895141,SampleScene,none,none,
1720687895169,SampleScene,none,none,
1720687895197,SampleScene,none,none,
1720687895225,SampleScene,none,none,
1720687895253,SampleScene,none,none,
1720687895281,SampleScene,none,none,
1720687895308,SampleScene,none,none,
1720687895336,SampleScene,none,none,
1720687895365,SampleScene,none,none,
1720687895392,SampleScene,none,none,
1720687895419,SampleScene,none,none,
1720687895448,SampleScene,none,none,
1720687895476,SampleScene,none,none,
1720687895503,SampleScene,none,none,
1720687895531,SampleScene,none,none,
1720687895559,SampleScene,none,none,
1720687895586,SampleScene,none,none,
1720687895615,SampleScene,none,none,
1720687895643,SampleScene,none,none,
1720687895671,SampleScene,none,none,
1720687895699,SampleScene,none,none,
1720687895727,SampleScene,none,none,
1720687895755,SampleScene,none,none,
1720687895783,SampleScene,none,none,
1720687895810,SampleScene,none,none,
1720687895838,SampleScene,none,none,
1720687895866,SampleScene,none,none,
1720687895893,SampleScene,none,none,
1720687895921,SampleScene,none,none,
1720687895949,SampleScene,none,none,
1720687895976,SampleScene,none,none,
1720687896004,SampleScene,none,none,
1720687896032,SampleScene,none,none,
1720687896061,SampleScene,none,none,
1720687896088,SampleScene,none,none,
1720687896116,SampleScene,none,none,
1720687896144,SampleScene,none,none,
