TimeStamp,Event,Interaction
1712846037450,EventSystem,none
1712846038479,EventSystem,none
1712846038529,EventSystem,none
1712846038550,EventSystem,none
1712846038557,EventSystem,none
1712846038573,EventSystem,none
1712846038587,EventSystem,none
1712846038599,EventSystem,none
1712846038614,EventSystem,none
1712846038630,EventSystem,none
1712846038644,EventSystem,none
1712846038655,EventSystem,none
1712846038671,EventSystem,none
1712846038685,EventSystem,none
1712846038698,EventSystem,none
1712846038711,EventSystem,none
1712846038726,EventSystem,none
1712846038740,EventSystem,none
1712846038752,EventSystem,none
1712846038768,EventSystem,none
1712846038782,EventSystem,none
1712846038793,EventSystem,none
1712846038809,EventSystem,none
1712846038824,EventSystem,none
1712846038838,EventSystem,none
1712846038851,EventSystem,none
1712846038863,EventSystem,none
1712846038880,EventSystem,none
1712846038894,EventSystem,none
1712846038906,EventSystem,none
1712846038919,EventSystem,none
1712846038936,EventSystem,none
1712846038950,EventSystem,none
1712846038962,EventSystem,none
1712846038975,EventSystem,none
1712846038992,EventSystem,none
1712846039005,EventSystem,none
1712846039017,EventSystem,none
1712846039030,EventSystem,none
1712846039047,EventSystem,none
1712846039061,EventSystem,none
1712846039073,EventSystem,none
1712846039086,EventSystem,none
1712846039102,EventSystem,none
1712846039117,EventSystem,none
1712846039129,EventSystem,none
1712846039142,EventSystem,none
1712846039159,EventSystem,none
1712846039173,EventSystem,none
1712846039184,EventSystem,none
1712846039199,EventSystem,none
1712846039214,EventSystem,none
1712846039266,EventSystem,none
1712846039315,EventSystem,none
1712846039340,EventSystem,none
1712846039361,EventSystem,none
1712846039371,EventSystem,none
1712846039385,EventSystem,none
1712846039399,EventSystem,none
1712846039414,EventSystem,none
1712846039431,EventSystem,none
1712846039442,EventSystem,none
1712846039455,EventSystem,none
1712846039470,EventSystem,none
1712846039485,EventSystem,none
1712846039497,EventSystem,none
1712846039512,EventSystem,none
1712846039526,EventSystem,none
1712846039543,EventSystem,none
1712846039553,EventSystem,none
1712846039567,EventSystem,none
1712846039580,EventSystem,none
1712846039595,EventSystem,none
1712846039609,EventSystem,none
1712846039623,EventSystem,none
1712846039639,EventSystem,none
1712846039653,EventSystem,none
1712846039664,EventSystem,none
1712846039678,EventSystem,none
1712846039691,EventSystem,none
1712846039706,EventSystem,none
1712846039719,EventSystem,none
1712846039734,EventSystem,none
1712846039748,EventSystem,none
1712846039767,EventSystem,none
1712846039776,EventSystem,none
1712846039793,EventSystem,none
1712846039804,EventSystem,none
1712846039817,EventSystem,none
1712846039831,EventSystem,none
1712846039845,EventSystem,none
1712846039860,EventSystem,none
1712846039878,EventSystem,none
1712846039887,EventSystem,none
1712846039901,EventSystem,none
1712846039916,EventSystem,none
1712846039929,EventSystem,none
1712846039946,EventSystem,none
1712846039957,EventSystem,none
1712846039971,EventSystem,none
1712846039988,EventSystem,none
1712846039998,EventSystem,none
1712846040012,EventSystem,none
1712846040027,EventSystem,none
1712846040040,EventSystem,none
1712846040054,EventSystem,none
1712846040067,EventSystem,none
1712846040083,EventSystem,none
1712846040099,EventSystem,none
1712846040109,EventSystem,none
1712846040124,EventSystem,none
1712846040137,EventSystem,none
1712846040156,EventSystem,none
1712846040171,EventSystem,none
1712846040180,EventSystem,none
1712846040194,EventSystem,none
1712846040211,EventSystem,none
1712846040220,EventSystem,none
1712846040236,EventSystem,none
1712846040251,EventSystem,none
1712846040263,EventSystem,none
1712846040277,EventSystem,none
1712846040291,EventSystem,none
1712846040305,EventSystem,none
1712846040323,EventSystem,none
1712846040332,EventSystem,none
1712846040347,EventSystem,none
1712846040361,EventSystem,none
1712846040374,EventSystem,none
1712846040389,EventSystem,none
1712846040405,EventSystem,none
1712846040417,EventSystem,none
1712846040435,EventSystem,none
1712846040447,EventSystem,none
1712846040458,EventSystem,none
1712846040471,EventSystem,none
1712846040486,EventSystem,none
1712846040499,EventSystem,none
1712846040514,EventSystem,none
1712846040528,EventSystem,none
1712846040545,EventSystem,none
1712846040559,EventSystem,none
1712846040569,EventSystem,none
1712846040583,EventSystem,none
1712846040597,EventSystem,none
1712846040611,EventSystem,none
1712846040625,EventSystem,none
1712846040640,EventSystem,none
1712846040657,EventSystem,none
1712846040666,EventSystem,none
1712846040681,EventSystem,none
1712846040694,EventSystem,none
1712846040709,EventSystem,none
1712846040727,EventSystem,none
1712846040736,EventSystem,none
1712846040753,EventSystem,none
