TimeStamp,Event,Interaction
1712924049853,none,none,
1712924051288,none,none,
1712924051342,none,none,
1712924051360,none,none,
1712924051375,none,none,
1712924051388,none,none,
1712924051402,none,none,
1712924051416,none,none,
1712924051429,none,none,
1712924051444,none,none,
1712924051458,none,none,
1712924051471,none,none,
1712924051485,none,none,
1712924051500,none,none,
1712924051512,none,none,
1712924051527,none,none,
1712924051541,none,none,
1712924051554,none,none,
1712924051568,none,none,
1712924051582,none,none,
1712924051597,none,none,
1712924051610,none,none,
1712924051624,none,none,
1712924051638,none,none,
1712924051651,none,none,
1712924051665,none,none,
1712924051680,none,none,
1712924051694,none,none,
1712924051706,none,none,
1712924051721,none,none,
1712924051736,none,none,
1712924051748,none,none,
1712924051763,none,none,
1712924051778,none,none,
1712924051790,none,none,
1712924051804,none,none,
1712924051820,none,none,
1712924051833,none,none,
1712924051846,none,none,
1712924051861,none,none,
1712924051875,none,none,
1712924051888,none,none,
1712924051902,none,none,
1712924051917,none,none,
1712924051931,none,none,
1712924051943,none,none,
1712924051961,none,none,
1712924051971,none,none,
1712924051985,none,none,
1712924052001,none,none,
1712924052014,none,none,
1712924052061,none,none,
1712924052102,none,none,
1712924052132,none,none,
1712924052156,none,none,
1712924052170,none,none,
1712924052184,none,none,
1712924052197,none,none,
1712924052212,none,none,
1712924052226,none,none,
1712924052241,none,none,
1712924052256,none,none,
1712924052269,none,none,
1712924052284,none,none,
1712924052297,none,none,
1712924052311,none,none,
1712924052325,none,none,
1712924052339,none,none,
1712924052354,none,none,
1712924052367,none,none,
1712924052381,none,none,
1712924052395,none,none,
1712924052409,none,none,
1712924052423,none,none,
1712924052437,none,none,
1712924052451,none,none,
1712924052465,none,none,
1712924052479,none,none,
1712924052493,none,none,
1712924052507,none,none,
1712924052520,none,none,
1712924052535,none,none,
1712924052549,none,none,
1712924052562,none,none,
1712924052576,none,none,
1712924052591,none,none,
1712924052604,none,none,
1712924052618,none,none,
1712924052632,none,none,
1712924052646,none,none,
1712924052660,none,none,
1712924052674,none,none,
1712924052688,none,none,
1712924052701,none,none,
1712924052716,none,none,
1712924052729,none,none,
1712924052743,none,none,
1712924052758,none,none,
1712924052772,none,none,
1712924052785,none,none,
1712924052800,none,none,
1712924052813,none,none,
1712924052828,none,none,
1712924052842,none,none,
1712924052854,none,none,
1712924052869,none,none,
1712924052884,none,none,
1712924052898,none,none,
1712924052911,none,none,
1712924052925,none,none,
1712924052938,none,none,
1712924052953,none,none,
1712924052966,none,none,
1712924052980,none,none,
1712924052994,none,none,
1712924053009,none,none,
1712924053023,none,none,
1712924053037,none,none,
1712924053050,none,none,
1712924053064,none,none,
1712924053078,none,none,
1712924053092,none,none,
1712924053106,none,none,
1712924053121,none,none,
1712924053134,none,none,
1712924053149,none,none,
1712924053162,none,none,
1712924053177,none,none,
1712924053190,none,none,
1712924053204,none,none,
1712924053217,none,none,
1712924053231,none,none,
1712924053246,none,none,
1712924053259,none,none,
1712924053273,none,none,
1712924053287,none,none,
1712924053301,none,none,
1712924053315,none,none,
1712924053329,none,none,
1712924053343,none,none,
1712924053358,none,none,
1712924053371,none,none,
1712924053385,none,none,
1712924053399,none,none,
1712924053413,none,none,
1712924053426,none,none,
1712924053441,none,none,
1712924053454,none,none,
1712924053469,none,none,
1712924053483,none,none,
1712924053497,none,none,
1712924053510,none,none,
1712924053524,none,none,
1712924053538,none,none,
1712924053552,none,none,
1712924053566,none,none,
1712924053580,none,none,
1712924053593,none,none,
1712924053608,none,none,
1712924053622,none,none,
1712924053636,none,none,
1712924053650,none,none,
1712924053664,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924053677,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924053691,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924053705,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924053718,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924053733,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924053746,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924053761,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924053774,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924053794,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924053804,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924053817,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924053830,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924053846,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924053858,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924053872,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
